Sheet,Period,Profile,Fund_Name,ISIN,Initial_Price,Final_Price,Return_Pct,Weight,Weighted_Return
RL360,Portafolio Modelo Marzo 2025 - Abril 2025,Perfil D,CT (Lux) Global Select,LU1864957219,5.07,5.1,0.005917,0.1,0.000592
RL360,Portafolio Modelo Febrero 2025 - Marzo 2025,Perfil D,BGF Sustainable Energy,LU0124384867,14.95,14.25,-0.046823,0.1,-0.004682
RL360,Portafolio Modelo Marzo 2025 - Abril 2025,Perfil D,BGF Sustainable Energy,LU0124384867,14.25,14.61,0.025263,0.1,0.002526
RL360,Portafolio Modelo Febrero 2025 - Marzo 2025,Perfil D,Polar Capital Biotechnology,IE00B3XLHR60,45.24,41.73,-0.077586,0.1,-0.007759
RL360,Portafolio Modelo Marzo 2025 - Abril 2025,Perfil D,Polar Capital Biotechnology,IE00B3XLHR60,41.73,43.01,0.030673,0.1,0.003067
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil A,Aberdeen Standard Liquidity (Lux),LU0049014870,3711.87,3725.11,0.003567,0.5,0.001783
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil A,Aberdeen Standard Liquidity (Lux),LU0049014870,3725.11,3737.29,0.00327,0.5,0.001635
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil A,UBS (Lux) Money Market USD Sustainable,LU0006277684,2057.17,2063.17,0.002917,0.5,0.001458
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil A,UBS (Lux) Money Market USD Sustainable,LU0006277684,2063.17,2071.12,0.003853,0.5,0.001927
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil B,Canaccord Opportunity A Acc USD,IE00B3BRDK12,2.88,2.99,0.038194,0.6,0.022916
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil B,Canaccord Opportunity A Acc USD,IE00B3BRDK12,2.99,3.08,0.0301,0.6,0.01806
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil B,T. Rowe Price Global High Yield Bond,LU0133082254,36.51,37.23,0.019721,0.2,0.003944
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil B,T. Rowe Price Global High Yield Bond,LU0133082254,37.23,37.86,0.016922,0.2,0.003384
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil B,Jupiter Dynamic Bond,LU0853555463,13.74,13.7,-0.002911,0.2,-0.000582
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil B,Jupiter Dynamic Bond,LU0853555463,13.7,13.92,0.016058,0.2,0.003212
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil C,Canaccord Opportunity A Acc USD,IE00B3BRDK12,2.88,2.99,0.038194,0.55,0.021007
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil C,Canaccord Opportunity A Acc USD,IE00B3BRDK12,2.99,3.08,0.0301,0.55,0.016555
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil C,Guinness Global Innovators C Acc USD,IE00BQXX3F31,26.68,28.5,0.068216,0.15,0.010232
RL360,Portafolio Modelo Mayo 2025 - Junio 2025,Perfil C,Guinness Global Innovators C Acc USD,IE00BQXX3F31,28.5,30.06,0.054737,0.15,0.008211
RL360,Portafolio Modelo Abril 2025 - Mayo 2025,Perfil C,CT (Lux) Global Select,LU1864957219,5.1,5.41,0.060784,0.1,0.006078
